SL_NO,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1,401.0,0.022443890274314215,34,0,10,26,457.466796875,84.79611310588628,10,8,0
2,216.0,0.0,32,2,28,25,522.591796875,95.42806100901831,17,11,0
3,251.0,0.0,41,0,81,29,94.0556640625,82.46965622501635,20,10,7
4,222.0,0.07207207207207207,53,0,18,49,1435.66796875,91.35596725174203,41,16,1
5,14.0,0.8571428571428571,0,0,2,0,215.931640625,99.29764736742133,1,7,0
6,412.0,0.04854368932038835,85,4,20,39,1730.40234375,96.89372955621322,26,11,6
7,128.0,0.1484375,25,6,3,25,41.6982421875,43.14386753788145,19,10,0
8,239.0,0.06276150627615062,25,0,21,48,402.685546875,86.46416878865041,73,9,1
9,661.0,0.0,81,5,111,79,276.96875,82.40825623378089,29,4,1
10,259.0,0.0,14,0,26,4,49.9873046875,91.71860042588939,7,7,0
11,41.0,0.0,5,0,71,13,110.3818359375,97.44848758305244,29,4,2
12,0.0,0.0,32,0,6,56,1041.97265625,94.20663929970571,17,10,0
13,802.0,0.09102244389027432,127,0,35,101,155.619140625,76.13238450242855,1,4,1
14,193.0,0.0,29,0,1,42,602.1904296875,91.14122758224775,72,13,2
15,212.0,0.2028301886792453,95,5,9,32,1003.240234375,97.68552677943927,14,10,10
16,408.0,0.07598039215686274,79,1,22,78,1710.41796875,96.57390257772337,36,11,0
17,24.0,1.0,1,0,0,0,1.3603515625,0.0,1,3,0
18,337.0,0.0,67,0,60,28,408.8984375,99.59160473069795,18,6,8
19,182.0,0.0,176,1,114,12,769.0830078125,93.85657381647432,27,12,16
20,288.0,0.0,115,0,13,46,314.296875,92.70600298284862,11,10,7
21,180.0,0.0,21,0,0,17,99.365234375,78.68009828009828,11,9,1
22,184.0,0.21739130434782608,279,0,40,30,1253.2783203125,96.83961672395132,46,5,25
23,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
24,9.0,0.0,9,0,0,0,427.0400390625,43.06900013492221,1,1,5
25,148.0,0.033783783783783786,20,0,14,42,158.6826171875,93.91043196238562,2,12,2
26,168.0,0.047619047619047616,16,0,6,24,13.849609375,58.926808630658584,1,3,0
27,82.0,0.0,10,0,17,31,241.4501953125,93.37903698760339,7,16,0
28,224.0,0.05803571428571429,36,0,35,21,75.529296875,70.15334488376303,29,9,16
29,162.0,0.006172839506172839,40,0,32,41,354.7880859375,95.74129583295486,27,12,5
30,313.0,0.009584664536741214,45,0,76,26,1153.3515625,98.40393825061471,6,6,3
31,0.0,0.0,56,0,28,30,1372.662109375,93.68677993690977,38,12,1
32,498.0,0.03413654618473896,52,1,18,43,16911.8681640625,97.22536751736787,44,16,70
33,206.0,0.10194174757281553,27,2,7,34,807.263671875,96.40326237119513,13,10,0
34,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
35,217.0,0.009216589861751152,49,0,111,42,230.560546875,92.39963743254805,34,8,1
36,175.0,0.05714285714285714,25,1,12,37,1137.1376953125,95.56168731627261,18,5,1
37,791.0,0.051833122629582805,91,1,31,99,245.9716796875,70.40794044665013,29,16,0
38,395.0,0.05822784810126582,59,2,7,38,3165.126953125,98.52299689302056,22,8,1
39,127.0,0.1732283464566929,10,0,31,29,514.884765625,95.92938347096779,8,5,1
40,131.0,0.0,90,0,25,1,434.125,93.9466059602649,9,12,7
41,658.0,0.0,203,2,7,116,33223.8310546875,99.92164298246597,115,13,9
42,476.0,0.06722689075630252,47,0,3,57,3619.6982421875,96.59296962070873,34,13,0
43,1356.0,0.01991150442477876,181,0,36,140,8408.76171875,98.96461001661679,14,15,0
44,254.0,0.0,250,2,4,43,1012.61328125,77.45863695805639,42,19,20
45,226.0,0.0,10,1,27,27,246.7275390625,92.84778487150157,6,21,0
