SLNO,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,url
1,293.0,0.0477815699659,0.191126279863,1,4,38,715.147460938,87.6452763921,6,19,2,http://1stbnhapambala.haryanapolice.gov.in
2,524.0,0.0763358778626,0.251908396947,1,26,61,191.25,73.3583537582,20,11,0,http://20pt.uk.gov.in
3,52.0,0.0,0.730769230769,0,80,17,175.529296875,54.9493162422,28,6,11,http://aaad.gov.in
4,163.0,0.0858895705521,0.398773006135,1,4,17,1180.1796875,88.3378954476,8,11,1,http://aadhaar.hp.gov.in
5,24.0,0.166666666667,0.166666666667,0,3,6,1257.20214844,82.6805709292,13,3,0,http://aadhaar.jharkhand.gov.in
6,653.0,0.0643185298622,0.37212863706,0,178,56,1100.83789062,91.8554581116,15,10,21,http://aadhaar.rajasthan.gov.in
7,0.0,0.0,0.37212863706,0,0,0,0.0,0.0,0,1,0,http://aagac.puducherry.gov.in
8,0.0,0.0,0.37212863706,0,0,0,0.0,0.0,0,1,0,http://aasc.gov.in
9,786.0,0.0254452926209,0.215012722646,1,97,24,3997.92285156,97.7493928121,17,22,7,http://acb.rajasthan.gov.in
10,752.0,0.132978723404,0.339095744681,3,18,24,6663.5390625,93.6125844586,39,16,26,http://acbap.gov.in
11,54.0,0.296296296296,0.611111111111,0,5,30,2052.86328125,98.9114860532,23,13,0,http://acbjharkhand.nic.in
12,35.0,1.0,0.885714285714,1,11,2,33.306640625,79.3819269337,2,10,5,http://acesdownload.nic.in
13,513.0,0.00974658869396,0.198830409357,3,110,22,194.12109375,71.4553778046,13,12,31,http://acy.bsf.gov.in
14,0.0,0.0,0.198830409357,0,0,0,0.0,0.0,0,1,0,http://addlwfa.nic.in
15,219.0,0.0913242009132,0.196347031963,2,4,23,99.67578125,88.5831014618,2,9,1,http://adgenez.gov.in
16,129.0,0.0,0.15503875969,0,150,33,638.791992188,98.115339164,43,17,0,http://adibasikalyan.gov.in
17,218.0,0.43119266055,0.238532110092,3,3,34,4562.68164062,38.7454180977,36,13,1,http://adilabad.telangana.gov.in
18,0.0,0.0,0.238532110092,0,0,0,0.0,0.0,0,1,0,http://adilabadpolice.gov.in
19,11.0,0.181818181818,0.181818181818,0,1,0,0.48046875,0.0,0,1,0,http://adminreform.up.nic.in
20,744.0,0.0712365591398,0.138440860215,4,39,45,15801.1708984,94.5874264287,40,7,105,http://admis.hp.nic.in
21,231.0,0.0,0.207792207792,1,102,32,200.713867188,83.7114595852,35,10,12,http://admis.hp.nic.in/ehimapurti
22,55.0,0.163636363636,0.127272727273,0,0,0,2.091796875,0.0,1,1,4,http://admis.hp.nic.in/emp/Aspx/Anonymous/Login.aspx
23,317.0,0.0378548895899,0.211356466877,0,65,15,158.9296875,89.5768814826,19,6,10,http://admis.hp.nic.in/epension/epensionkhoj.asp
24,89.0,0.0,0.539325842697,9,44,8,382.453125,76.2989234792,7,6,0,http://admis.hp.nic.in/esamadhan
25,0.0,0.0,0.539325842697,0,0,0,0.0,0.0,0,1,0,http://admis.hp.nic.in/himpol
26,106.0,0.0377358490566,0.169811320755,11,49,23,594.92578125,66.1120084569,5,22,6,http://admis.hp.nic.in/hpprisons
27,0.0,0.0,0.169811320755,0,0,0,0.0,0.0,0,1,0,http://adwelfare.puducherry.gov.in
28,238.0,0.0840336134454,0.168067226891,2,11,41,221.798828125,79.9407366966,14,10,0,http://ae.uk.gov.in
29,476.0,0.0168067226891,0.205882352941,1,1,10,572.676757812,89.8937793838,30,15,5,http://aecs1jaduguda.nic.in
30,635.0,0.0,1.02677165354,0,38,18,200.534179688,81.9052627991,13,14,8,http://aecs4rbt.nic.in
31,55.0,0.0909090909091,0.290909090909,1,25,15,261.388671875,98.2541414172,3,14,11,http://aecsmum1.ac.in
32,227.0,0.0264317180617,0.405286343612,0,24,26,207.7890625,92.8882956724,4,9,9,http://aecsmum3.ac.in
33,52.0,0.0769230769231,0.423076923077,1,80,5,12610.1201172,99.9122496092,32,9,1,http://aecsmum4.ac.in
34,183.0,0.0109289617486,0.27868852459,2,66,19,379.009765625,95.817379788,5,13,0,http://aecsmum6.ac.in
35,230.0,0.0304347826087,0.691304347826,0,35,28,20268.8388672,99.9637345485,4,13,8,http://aecsnarwapahar.nic.in
