SL_NO,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1,1229.0,0.06672091131000814,138,0,24,43,5041.0693359375,97.83969756230803,17,6,14
2,2832.0,0.014830508474576272,1558,0,45,87,762.08984375,83.23880673518029,1,2,0
3,315.0,0.06666666666666667,33,0,6,54,2568.365234375,71.32196656585575,11,7,7
4,598.0,0.12207357859531773,40,0,14,93,1234.15234375,88.61701319541817,17,3,0
5,200.0,0.02,21,0,7,16,117.82421875,90.26870669363127,2,2,0
6,442.0,0.08597285067873303,124,3,6,46,4346.1357421875,93.85065711435918,25,4,0
7,852.0,0.04107981220657277,119,3,21,51,2375.83984375,92.95882212704389,13,6,0
8,264.0,0.10984848484848485,55,0,20,42,83.51953125,93.04055002104673,19,1,0
9,972.0,0.17592592592592593,81,0,12,87,172.1455078125,22.786863856317048,16,4,1
10,811.0,0.3785450061652281,112,1,73,91,534.248046875,59.805326557844516,74,8,0
11,266.0,0.07142857142857142,25,1,9,44,4648.1962890625,91.22542703371373,9,3,1
12,342.0,0.13742690058479531,51,0,12,53,196.056640625,45.5145894143314,22,5,2
13,477.0,0.11740041928721175,47,0,15,107,706.935546875,71.3988910101091,15,4,1
14,195.0,0.041025641025641026,15,0,4,1,210.3134765625,87.2465302445661,3,2,1
15,660.0,0.20303030303030303,74,0,13,65,923.8642578125,85.3616719007819,100,3,0
16,843.0,0.19572953736654805,172,0,23,116,1166.8837890625,99.35776461244517,42,5,0
17,751.0,0.0758988015978695,70,0,76,133,1154.4853515625,96.45650075749053,14,2,0
18,177.0,0.7005649717514124,36,0,5,41,1588.705078125,82.21115368869842,10,3,0
19,631.0,0.03645007923930269,61,1,127,45,2922.5849609375,99.1711906899627,50,3,3
20,204.0,0.35294117647058826,28,0,10,39,950.9501953125,91.25063028036308,29,6,0
21,270.0,0.05185185185185185,67,1,22,41,626.82421875,87.21964640704942,21,4,0
22,945.0,0.08465608465608465,167,0,2,89,871.4970703125,77.49181152672585,12,3,0
23,557.0,0.17235188509874327,110,0,2,69,880.21875,79.07436006674477,6,3,0
24,596.0,0.11577181208053691,63,0,1,79,1236.1796875,62.77641549380336,16,5,0
25,478.0,0.13807531380753138,105,0,1,53,310.830078125,97.6078419051808,7,3,0
26,3210.0,0.0,272,0,70,86,1466.3564453125,97.3004543974256,42,4,12
27,626.0,0.0463258785942492,55,1,32,54,919.3466796875,57.65866343180609,23,3,1
28,266.0,0.2593984962406015,64,0,10,38,1954.744140625,88.49064125839679,34,3,1
29,489.0,0.06134969325153374,50,0,19,24,339.6962890625,91.96317942555534,6,3,0
30,983.0,0.048830111902339775,153,3,0,104,1130.15234375,89.70539439165765,183,4,0
31,985.0,0.048730964467005075,217,6,51,88,3058.7578125,97.01574117352581,137,6,81
32,238.0,0.09243697478991597,39,1,5,39,1618.9365234375,79.47956045122696,14,5,8
33,747.0,0.15127175368139223,100,0,12,143,1242.689453125,83.69628939249391,52,9,2
34,408.0,0.8455882352941176,13,0,6,61,448.068359375,36.67413506762971,42,6,0
35,802.0,0.15336658354114713,30,1,119,119,1831.9443359375,80.88773934371086,57,6,0
36,871.0,0.24225028702640644,52,0,5,77,2112.2431640625,93.63111362004534,14,3,0
37,405.0,0.4740740740740741,41,1,34,44,5357.1376953125,90.41912358092637,49,3,0
38,294.0,0.05102040816326531,105,0,7,49,2215.5908203125,80.95347028008631,61,11,3
39,683.0,0.08638360175695461,79,2,19,104,1425.5751953125,91.50541619371019,18,2,3
40,379.0,0.018469656992084433,30,1,11,100,495.42578125,89.56468946376617,11,3,3
41,1155.0,0.012987012987012988,112,1,101,112,876.9599609375,96.54111827636088,9,5,1
42,315.0,0.12063492063492064,38,0,5,73,587.1923828125,71.40291209659313,8,4,2
43,625.0,0.0,108,0,30,64,1212.57421875,99.09404707830384,30,3,0
44,399.0,0.017543859649122806,116,0,51,39,1132.978515625,83.55594438746046,79,5,0
45,321.0,0.06230529595015576,24,0,24,27,3182.4228515625,94.68819973972022,30,5,3
46,408.0,0.3946078431372549,73,0,11,54,3332.55078125,67.54175491980735,45,3,0
47,438.0,0.0776255707762557,38,0,21,67,882.6884765625,87.36537102004374,20,4,10
48,622.0,0.07877813504823152,96,1,14,105,1896.7275390625,65.89144852179098,22,4,1
49,691.0,0.5108538350217077,96,0,22,45,1815.4111328125,62.784503983634046,13,7,0
50,524.0,0.007633587786259542,105,0,0,122,273.3486328125,73.41421676330522,1,3,0
51,719.0,0.09874826147426982,115,0,30,57,1878.8603515625,86.06135388962204,82,5,6
52,1305.0,0.3969348659003831,147,1,37,30,3599.779296875,95.707907440072,52,12,0
53,248.0,0.0846774193548387,20,0,1,71,290.87109375,85.52469011455354,5,2,0
54,517.0,0.10251450676982592,132,0,7,55,2041.6904296875,96.16782202630614,23,10,0
55,123.0,0.016260162601626018,31,0,0,15,650.173828125,93.57894072799041,8,1,0
56,621.0,0.0644122383252818,68,1,19,30,1624.634765625,86.11406650292794,14,5,0
57,485.0,0.18556701030927836,73,0,4,62,515.0791015625,84.08845728716577,14,4,0
58,621.0,0.03542673107890499,64,1,116,53,1774.9619140625,73.41987421605107,46,5,0
59,495.0,0.2,87,0,22,91,1917.2255859375,92.19677278212178,32,4,2
60,270.0,0.3,71,0,10,60,598.6142578125,97.90026118264677,34,4,1
61,720.0,0.08333333333333333,101,0,42,93,1300.7900390625,93.10395049883297,39,4,13
62,746.0,0.6380697050938338,130,3,102,104,1076.1494140625,86.74173780396505,40,6,23
63,775.0,0.02064516129032258,429,2,11,92,1101.1259765625,84.05999540598091,41,7,28
64,271.0,0.12177121771217712,92,0,15,48,11686.943359375,99.61041760845896,13,3,0
65,82.0,0.3170731707317073,6,0,82,13,827.4970703125,90.69837152463484,23,4,0
66,1375.0,0.005090909090909091,529,3,40,46,14569.880859375,88.80261734295345,123,6,9
67,454.0,0.22466960352422907,70,0,47,55,966.7939453125,73.36395968876673,16,3,0
68,330.0,0.08484848484848485,105,0,14,26,1092.14453125,74.54370522445447,7,4,0
69,422.0,0.31516587677725116,71,0,44,126,1582.880859375,94.04529666166935,27,6,12
70,340.0,0.047058823529411764,76,1,10,34,1473.212890625,92.00408333720013,16,7,0
71,212.0,0.0,25,0,41,15,197.990234375,86.25642442118554,5,2,1
72,543.0,0.11970534069981584,26,1,5,57,122.7099609375,11.850702319844018,17,7,3
73,350.0,0.08285714285714285,54,1,16,55,469.904296875,89.35163825745768,23,3,2
74,1064.0,0.2236842105263158,184,0,21,102,1602.576171875,86.79963535274625,30,5,1
75,491.0,0.08757637474541752,167,0,10,64,1114.0341796875,53.319114879322846,7,4,0
76,1066.0,0.3714821763602251,197,0,26,31,2301.4287109375,94.77031718154016,6,9,24
77,312.0,0.5993589743589743,85,0,7,55,1495.3720703125,69.44772968161534,23,4,12
78,473.0,0.22410147991543342,43,0,27,52,237.873046875,58.179175801167574,5,3,0
79,902.0,0.21840354767184036,95,0,41,81,94.8662109375,16.688798987060313,7,2,1
80,242.0,0.0,71,1,49,58,1595.0185546875,93.301042858656,26,3,1
81,405.0,0.08888888888888889,43,0,70,76,538.9287109375,81.25966045920818,8,4,6
82,579.0,0.15889464594127806,105,0,3,77,2569.1611328125,94.54683537952602,35,5,6
83,784.0,0.16326530612244897,133,0,10,27,6288.9482421875,96.39769852961615,10,8,0
84,349.0,0.3123209169054441,276,0,17,18,8313.9970703125,23.953345808373562,41,9,151
85,483.0,0.12422360248447205,147,0,6,55,2655.0380859375,92.50566159045358,9,4,0
86,444.0,0.3918918918918919,145,2,12,48,3148.6904296875,93.48076565809384,16,6,0
87,275.0,0.025454545454545455,40,0,11,27,3660.8115234375,98.88427125239852,15,3,0
88,166.0,0.19879518072289157,26,0,3,66,857.263671875,78.86261474212782,45,4,0
89,193.0,0.08808290155440414,35,2,7,10,439.3544921875,78.9775038397507,10,3,0
90,408.0,0.029411764705882353,38,0,11,40,547.3095703125,57.373694118066894,13,3,0
91,468.0,0.3269230769230769,43,0,9,55,1601.22265625,91.64469045870709,46,4,5
92,388.0,0.19072164948453607,47,1,10,58,1139.294921875,96.37471092146835,39,2,2
