p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,url
0,0,0,0,0,0,0.1064,0,0,1,0,http://delhiveh.nic.in
0,0,0,0,0,0,0.1064,0,0,1,0,http://grip.gov.in
0,0,0,0,0,0,0.1172,0,0,1,0,http://www.apddcf.gov.in
0,0,0,0,0,0,0.1221,0,0,1,0,http://cooperation.puducherry.gov.in
0,0,0,0,0,0,0.1221,0,0,1,0,http://transport.puducherry.gov.in
0,0,0,0,0,0,0.1221,0,0,1,0,http://www.bcmsu.ac.in
0,0,0,0,0,0,0.1406,0,0,1,0,http://gujarathc-casestatus.nic.in
0,0,0,0,0,0,0.168,0,0,1,0,http://opbharyana.com
0,0,0,0,0,0,0.1748,0,0,1,0,http://www.gowribidanurtown.mrc.gov.in
0,0,0,0,0,0,0.2363,0,0,1,0,http://www.tn.gov.in/exwel
0,0,0,0,0,0,0.248,0,0,1,0,http://www.sanskritkerala.gov.in
0,0,0,0,0,0,0.2627,0,0,1,0,http://www.jalandharpolice.com
0,0,0,0,0,0,0.3467,0,0,1,0,http://karnatakastateopenuniversity.in
0,0,0,0,0,0,0.3467,0,0,1,0,http://www.pnrc.in
0,0,0,0,0,0,0.3721,0,0,1,0,http://www.aptourism.gov.in
0,0,0,0,0,0,0.5342,0,0,1,0,http://www.postallifeinsurance.gov.in
0,0,0,0,0,0,0.5498,0,1,18,0,http://rohtak.haryanapolice.gov.in
0,0,0,0,0,0,0.6172,0,1,2,0,http://haryanacmoffice.gov.in
0,0,0,0,0,0,0.7969,0,0,3,0,http://www.sctevtorissa.in
0,0,0,0,0,0,0.8076,0,0,3,0,http://ranchiuniversity.org.in
0,0,0,0,0,0,0.8213,0,0,1,0,http://www.jksfc.com
0,0,0,0,0,0,0.8213,0,0,1,0,http://www.rlda.in
0,0,0,0,0,0,0.833,0,0,1,0,http://www.rrbthiruvananthapuram.gov.in
0,0,0,0,0,0,0.8408,0,0,14,0,http://nadiapolice.gov.in
0,0,0,0,0,0,0.8887,0,0,1,0,http://www.esicmadurai.org
0,0,0,0,0,0,0.8916,0,0,1,0,http://www.sikkimdop.org
0,0,0,0,0,0,0.8936,0,0,1,0,http://www.jnvkupwara.org.in
0,0,0,0,0,0,0.8936,0,0,1,0,http://www.ksoumysore.net.in
0,0,0,0,0,0,0.9141,0,2,1,0,http://www.zpraigad.maharashtra.gov.in
0,0,0,0,0,0,0.917,0,0,1,0,http://www.giar.org
0,0,0,0,0,0,0.9375,0,0,1,0,http://www.hfcindia.org
0,0,0,0,0,0,1.083,0,0,1,0,http://www.hpsacs.org
0,0,0,0,0,0,1.0957,0,1,2,0,http://msvc.in
0,0,0,0,0,0,1.0986,0,1,2,0,http://www.bssca.in
0,0,0,0,0,0,1.1055,0,1,2,0,http://www.kvsunjuwan.com
0,0,0,0,0,0,1.1094,0,1,1,0,http://www.pudhuvaazhvu.org
